,animal,session,trial,onset,first_lick_in,last_lick_out,water_valve_on,outcome,sound_num,reward,go_nogo,licks_out,quality,water_valve_amt
0,JUV011,211215,1,1511.316804,1511.316804,1511.345304,1513.468296,1513.468296,1,2,go,1,normal,2
1,JUV011,211215,2,1513.501629,1513.541629,1520.6921,,1522.708592,8,-1,go,23,normal,
2,JUV011,211215,3,1522.715269,,1522.715269,,1539.835691,7,0,nogo,1,normal,
3,JUV011,211215,4,1544.402505,1546.756163,,,1546.756163,6,-1,go,0,normal,
4,JUV011,211215,5,1546.841666,1546.962495,1563.438596,,1565.691754,6,-1,go,28,normal,
5,JUV011,211215,6,1565.71292,1569.674904,1570.062403,1579.611198,1579.611198,1,2,go,4,normal,2
6,JUV011,211215,7,1579.644198,1579.710697,1581.786023,1584.520012,1584.520012,3,2,go,18,normal,2
7,JUV011,211215,8,1584.553178,1584.619512,1586.690836,1589.265828,1589.265828,4,2,go,20,normal,2
8,JUV011,211215,9,1589.306159,1589.381159,1601.033946,,1603.209937,8,-1,go,27,normal,
9,JUV011,211215,10,1603.24527,1603.33777,1603.351603,,1620.279369,6,0,nogo,2,normal,
10,JUV011,211215,11,1624.33103,,,,1627.333346,14,-1,go,0,missed,
11,JUV011,211215,12,1641.047119,1641.070953,,,1641.070953,9,0,go,0,normal,
12,JUV011,211215,13,1641.170285,1641.230285,1644.761271,,1649.118753,9,0,go,25,normal,
13,JUV011,211215,14,1649.147253,1649.22042,1652.360074,1654.577565,1654.577565,3,2,go,5,normal,2
14,JUV011,211215,15,1654.603898,1654.676898,1662.5237,1664.699858,1664.699858,1,2,go,24,normal,2
15,JUV011,211215,16,1664.733191,1664.806357,1666.751349,,1668.946341,7,-1,go,19,normal,
16,JUV011,211215,17,1668.981674,1670.226002,1679.485465,1683.10279,1683.10279,4,2,go,4,normal,2
17,JUV011,211215,18,1683.128951,1683.195117,1684.92261,1687.453933,1687.453933,4,2,go,17,normal,2
18,JUV011,211215,19,1687.4801,1687.546433,1693.876408,,1695.974733,6,-1,go,25,normal,
19,JUV011,211215,20,1695.981399,1697.654559,1707.076021,1709.689844,1709.689844,1,2,go,4,normal,2
20,JUV011,211215,21,1709.716344,1709.790011,1713.885994,,1715.980819,6,-1,go,19,normal,
21,JUV011,211215,22,1716.009152,1717.595646,1728.049604,1730.261431,1730.261431,1,2,go,6,normal,2
22,JUV011,211215,23,1730.294928,1730.362762,1734.658078,1736.809569,1736.809569,2,2,go,20,normal,2
23,JUV011,211215,24,1736.849736,1736.911069,1745.427701,,1747.725692,7,-1,go,21,normal,
24,JUV011,211215,25,1747.732359,1751.846342,1760.162309,1762.311134,1762.311134,3,2,go,26,normal,2
25,JUV011,211215,26,1762.344134,1762.397633,1769.532605,,1773.025758,16,0,go,24,normal,
26,JUV011,211215,27,1773.032424,1776.950742,1773.032424,1776.952909,1776.952909,2,2,go,1,normal,2
27,JUV011,211215,28,1776.985908,1777.032742,1783.957547,1786.121372,1786.121372,4,2,go,26,normal,2
28,JUV011,211215,29,1786.147372,1786.200372,1795.188502,,1797.371494,5,-1,go,22,normal,
